PV Productie (W),DateTime,GHI (W/m^2),Year,Month,Day,Hour,Minute,Second
0.0,2021-12-26 00:00:00,0.0,2021,12,26,0,0,0
0.0,2021-12-26 00:15:00,0.0,2021,12,26,0,15,0
0.0,2021-12-26 00:30:00,0.0,2021,12,26,0,30,0
0.0,2021-12-26 00:45:00,0.0,2021,12,26,0,45,0
0.0,2021-12-26 01:00:00,0.0,2021,12,26,1,0,0
0.0,2021-12-26 01:15:00,0.0,2021,12,26,1,15,0
0.0,2021-12-26 01:30:00,0.0,2021,12,26,1,30,0
0.0,2021-12-26 01:45:00,0.0,2021,12,26,1,45,0
0.0,2021-12-26 02:00:00,0.0,2021,12,26,2,0,0
0.0,2021-12-26 02:15:00,0.0,2021,12,26,2,15,0
0.0,2021-12-26 02:30:00,0.0,2021,12,26,2,30,0
0.0,2021-12-26 02:45:00,0.0,2021,12,26,2,45,0
0.0,2021-12-26 03:00:00,0.0,2021,12,26,3,0,0
0.0,2021-12-26 03:15:00,0.0,2021,12,26,3,15,0
0.0,2021-12-26 03:30:00,0.0,2021,12,26,3,30,0
0.0,2021-12-26 03:45:00,0.0,2021,12,26,3,45,0
0.0,2021-12-26 04:00:00,0.0,2021,12,26,4,0,0
0.0,2021-12-26 04:15:00,0.0,2021,12,26,4,15,0
0.0,2021-12-26 04:30:00,0.0,2021,12,26,4,30,0
0.0,2021-12-26 04:45:00,0.0,2021,12,26,4,45,0
0.0,2021-12-26 05:00:00,0.0,2021,12,26,5,0,0
0.0,2021-12-26 05:15:00,0.0,2021,12,26,5,15,0
0.0,2021-12-26 05:30:00,0.0,2021,12,26,5,30,0
0.0,2021-12-26 05:45:00,0.0,2021,12,26,5,45,0
0.0,2021-12-26 06:00:00,0.0,2021,12,26,6,0,0
0.0,2021-12-26 06:15:00,0.0,2021,12,26,6,15,0
0.0,2021-12-26 06:30:00,0.0,2021,12,26,6,30,0
0.0,2021-12-26 06:45:00,0.0,2021,12,26,6,45,0
0.0,2021-12-26 07:00:00,0.0,2021,12,26,7,0,0
0.0,2021-12-26 07:15:00,0.0,2021,12,26,7,15,0
0.0,2021-12-26 07:30:00,0.0,2021,12,26,7,30,0
0.0,2021-12-26 07:45:00,0.0,2021,12,26,7,45,0
0.0,2021-12-26 08:00:00,0.0,2021,12,26,8,0,0
0.0,2021-12-26 08:15:00,0.0,2021,12,26,8,15,0
0.0,2021-12-26 08:30:00,0.0,2021,12,26,8,30,0
0.0,2021-12-26 08:45:00,0.0,2021,12,26,8,45,0
0.0,2021-12-26 09:00:00,0.8506197030073286,2021,12,26,9,0,0
5.3603,2021-12-26 09:15:00,7.576365895662382,2021,12,26,9,15,0
8.2499,2021-12-26 09:30:00,21.686241053384474,2021,12,26,9,30,0
28.2719,2021-12-26 09:45:00,40.57610820187259,2021,12,26,9,45,0
49.2198,2021-12-26 10:00:00,61.63539266754344,2021,12,26,10,0,0
66.4793,2021-12-26 10:15:00,83.15233467987683,2021,12,26,10,15,0
77.106,2021-12-26 10:30:00,104.06763463817737,2021,12,26,10,30,0
85.0613,2021-12-26 10:45:00,123.70814895980936,2021,12,26,10,45,0
91.4122,2021-12-26 11:00:00,141.6262925998846,2021,12,26,11,0,0
100.5061,2021-12-26 11:15:00,157.51133244757298,2021,12,26,11,15,0
106.4245,2021-12-26 11:30:00,171.14037403165153,2021,12,26,11,30,0
111.4732,2021-12-26 11:45:00,182.35064866120769,2021,12,26,11,45,0
166.2499,2021-12-26 12:00:00,191.02341840702192,2021,12,26,12,0,0
227.981,2021-12-26 12:15:00,197.0744451906187,2021,12,26,12,15,0
221.7472,2021-12-26 12:30:00,200.4483316352307,2021,12,26,12,30,0
229.6891,2021-12-26 12:45:00,201.115275955026,2021,12,26,12,45,0
235.1527,2021-12-26 13:00:00,199.06947990230657,2021,12,26,13,0,0
224.2156,2021-12-26 13:15:00,194.3288508750385,2021,12,26,13,15,0
209.5394,2021-12-26 13:30:00,186.9359325239067,2021,12,26,13,30,0
172.4853,2021-12-26 13:45:00,176.96027193256032,2021,12,26,13,45,0
129.789,2021-12-26 14:00:00,164.5027603359304,2021,12,26,14,0,0
112.7202,2021-12-26 14:15:00,149.70302024927125,2021,12,26,14,15,0
89.4576,2021-12-26 14:30:00,132.75182436631687,2021,12,26,14,30,0
46.1668,2021-12-26 14:45:00,113.9122413961468,2021,12,26,14,45,0
29.4124,2021-12-26 15:00:00,93.55654458860332,2021,12,26,15,0,0
6.252,2021-12-26 15:15:00,72.23232968608325,2021,12,26,15,15,0
13.2513,2021-12-26 15:30:00,50.782796128977125,2021,12,26,15,30,0
5.0069,2021-12-26 15:45:00,30.55915638144469,2021,12,26,15,45,0
0.5265,2021-12-26 16:00:00,13.72155036591812,2021,12,26,16,0,0
0.0,2021-12-26 16:15:00,3.1708080039816138,2021,12,26,16,15,0
0.0,2021-12-26 16:30:00,0.0104522745587448,2021,12,26,16,30,0
0.0,2021-12-26 16:45:00,0.0,2021,12,26,16,45,0
0.0,2021-12-26 17:00:00,0.0,2021,12,26,17,0,0
0.0,2021-12-26 17:15:00,0.0,2021,12,26,17,15,0
0.0,2021-12-26 17:30:00,0.0,2021,12,26,17,30,0
0.0,2021-12-26 17:45:00,0.0,2021,12,26,17,45,0
0.0,2021-12-26 18:00:00,0.0,2021,12,26,18,0,0
0.0,2021-12-26 18:15:00,0.0,2021,12,26,18,15,0
0.0,2021-12-26 18:30:00,0.0,2021,12,26,18,30,0
0.0,2021-12-26 18:45:00,0.0,2021,12,26,18,45,0
0.0,2021-12-26 19:00:00,0.0,2021,12,26,19,0,0
0.0,2021-12-26 19:15:00,0.0,2021,12,26,19,15,0
0.0,2021-12-26 19:30:00,0.0,2021,12,26,19,30,0
0.0,2021-12-26 19:45:00,0.0,2021,12,26,19,45,0
0.0,2021-12-26 20:00:00,0.0,2021,12,26,20,0,0
0.0,2021-12-26 20:15:00,0.0,2021,12,26,20,15,0
0.0,2021-12-26 20:30:00,0.0,2021,12,26,20,30,0
0.0,2021-12-26 20:45:00,0.0,2021,12,26,20,45,0
0.0,2021-12-26 21:00:00,0.0,2021,12,26,21,0,0
0.0,2021-12-26 21:15:00,0.0,2021,12,26,21,15,0
0.0,2021-12-26 21:30:00,0.0,2021,12,26,21,30,0
0.0,2021-12-26 21:45:00,0.0,2021,12,26,21,45,0
0.0,2021-12-26 22:00:00,0.0,2021,12,26,22,0,0
0.0,2021-12-26 22:15:00,0.0,2021,12,26,22,15,0
0.0,2021-12-26 22:30:00,0.0,2021,12,26,22,30,0
0.0,2021-12-26 22:45:00,0.0,2021,12,26,22,45,0
0.0,2021-12-26 23:00:00,0.0,2021,12,26,23,0,0
0.0,2021-12-26 23:15:00,0.0,2021,12,26,23,15,0
0.0,2021-12-26 23:30:00,0.0,2021,12,26,23,30,0
0.0,2021-12-26 23:45:00,0.0,2021,12,26,23,45,0
0.0,2021-12-27 00:00:00,0.0,2021,12,27,0,0,0
0.0,2021-12-27 00:15:00,0.0,2021,12,27,0,15,0
0.0,2021-12-27 00:30:00,0.0,2021,12,27,0,30,0
0.0,2021-12-27 00:45:00,0.0,2021,12,27,0,45,0
0.0,2021-12-27 01:00:00,0.0,2021,12,27,1,0,0
0.0,2021-12-27 01:15:00,0.0,2021,12,27,1,15,0
0.0,2021-12-27 01:30:00,0.0,2021,12,27,1,30,0
0.0,2021-12-27 01:45:00,0.0,2021,12,27,1,45,0
0.0,2021-12-27 02:00:00,0.0,2021,12,27,2,0,0
0.0,2021-12-27 02:15:00,0.0,2021,12,27,2,15,0
0.0,2021-12-27 02:30:00,0.0,2021,12,27,2,30,0
0.0,2021-12-27 02:45:00,0.0,2021,12,27,2,45,0
0.0,2021-12-27 03:00:00,0.0,2021,12,27,3,0,0
0.0,2021-12-27 03:15:00,0.0,2021,12,27,3,15,0
0.0,2021-12-27 03:30:00,0.0,2021,12,27,3,30,0
0.0,2021-12-27 03:45:00,0.0,2021,12,27,3,45,0
0.0,2021-12-27 04:00:00,0.0,2021,12,27,4,0,0
0.0,2021-12-27 04:15:00,0.0,2021,12,27,4,15,0
0.0,2021-12-27 04:30:00,0.0,2021,12,27,4,30,0
0.0,2021-12-27 04:45:00,0.0,2021,12,27,4,45,0
0.0,2021-12-27 05:00:00,0.0,2021,12,27,5,0,0
0.0,2021-12-27 05:15:00,0.0,2021,12,27,5,15,0
0.0,2021-12-27 05:30:00,0.0,2021,12,27,5,30,0
0.0,2021-12-27 05:45:00,0.0,2021,12,27,5,45,0
0.0,2021-12-27 06:00:00,0.0,2021,12,27,6,0,0
0.0,2021-12-27 06:15:00,0.0,2021,12,27,6,15,0
0.0,2021-12-27 06:30:00,0.0,2021,12,27,6,30,0
0.0,2021-12-27 06:45:00,0.0,2021,12,27,6,45,0
0.0,2021-12-27 07:00:00,0.0,2021,12,27,7,0,0
0.0,2021-12-27 07:15:00,0.0,2021,12,27,7,15,0
0.0,2021-12-27 07:30:00,0.0,2021,12,27,7,30,0
0.0,2021-12-27 07:45:00,0.0,2021,12,27,7,45,0
0.0,2021-12-27 08:00:00,0.0,2021,12,27,8,0,0
0.0,2021-12-27 08:15:00,0.0,2021,12,27,8,15,0
0.0,2021-12-27 08:30:00,0.0,2021,12,27,8,30,0
0.0,2021-12-27 08:45:00,0.0,2021,12,27,8,45,0
0.0,2021-12-27 09:00:00,0.8121076720869921,2021,12,27,9,0,0
0.0,2021-12-27 09:15:00,7.448360705048499,2021,12,27,9,15,0
0.0,2021-12-27 09:30:00,21.50623392763729,2021,12,27,9,30,0
4.0035,2021-12-27 09:45:00,40.39582930402726,2021,12,27,9,45,0
3.9657,2021-12-27 10:00:00,61.48985793934703,2021,12,27,10,0,0
52.3144,2021-12-27 10:15:00,83.06296170107984,2021,12,27,10,15,0
65.3889,2021-12-27 10:30:00,104.04779018216826,2021,12,27,10,30,0
87.8934,2021-12-27 10:45:00,123.76654463858486,2021,12,27,10,45,0
89.6992,2021-12-27 11:00:00,141.76881097341132,2021,12,27,11,0,0
101.0592,2021-12-27 11:15:00,157.74200110776138,2021,12,27,11,15,0
123.9622,2021-12-27 11:30:00,171.46189579311135,2021,12,27,11,30,0
74.6913,2021-12-27 11:45:00,182.7646961812928,2021,12,27,11,45,0
50.7857,2021-12-27 12:00:00,191.53079843992245,2021,12,27,12,0,0
51.7614,2021-12-27 12:15:00,197.675186163298,2021,12,27,12,15,0
119.9701,2021-12-27 12:30:00,201.1417217561385,2021,12,27,12,30,0
130.789,2021-12-27 12:45:00,201.89986435988067,2021,12,27,12,45,0
116.1391,2021-12-27 13:00:00,199.9430441081205,2021,12,27,13,0,0
105.7808,2021-12-27 13:15:00,195.2883263716156,2021,12,27,13,15,0
100.5506,2021-12-27 13:30:00,187.97729206950407,2021,12,27,13,30,0
86.6602,2021-12-27 13:45:00,178.07833062893118,2021,12,27,13,45,0
75.5173,2021-12-27 14:00:00,165.69086376564073,2021,12,27,14,0,0
146.0815,2021-12-27 14:15:00,150.95253965255222,2021,12,27,14,15,0
115.373,2021-12-27 14:30:00,134.05132134443164,2021,12,27,14,30,0
93.189,2021-12-27 14:45:00,115.24604712013836,2021,12,27,14,45,0
86.1418,2021-12-27 15:00:00,94.90227073574783,2021,12,27,15,0,0
32.9043,2021-12-27 15:15:00,73.55639856531702,2021,12,27,15,15,0
16.7361,2021-12-27 15:30:00,52.032391586554944,2021,12,27,15,30,0
0.0,2021-12-27 15:45:00,31.64882137763688,2021,12,27,15,45,0
0.0,2021-12-27 16:00:00,14.519788692687648,2021,12,27,16,0,0
0.0,2021-12-27 16:15:00,3.541409040519234,2021,12,27,16,15,0
0.0,2021-12-27 16:30:00,0.0485079838342444,2021,12,27,16,30,0
0.0,2021-12-27 16:45:00,0.0,2021,12,27,16,45,0
0.0,2021-12-27 17:00:00,0.0,2021,12,27,17,0,0
0.0,2021-12-27 17:15:00,0.0,2021,12,27,17,15,0
0.0,2021-12-27 17:30:00,0.0,2021,12,27,17,30,0
0.0,2021-12-27 17:45:00,0.0,2021,12,27,17,45,0
0.0,2021-12-27 18:00:00,0.0,2021,12,27,18,0,0
0.0,2021-12-27 18:15:00,0.0,2021,12,27,18,15,0
0.0,2021-12-27 18:30:00,0.0,2021,12,27,18,30,0
0.0,2021-12-27 18:45:00,0.0,2021,12,27,18,45,0
0.0,2021-12-27 19:00:00,0.0,2021,12,27,19,0,0
0.0,2021-12-27 19:15:00,0.0,2021,12,27,19,15,0
0.0,2021-12-27 19:30:00,0.0,2021,12,27,19,30,0
0.0,2021-12-27 19:45:00,0.0,2021,12,27,19,45,0
0.0,2021-12-27 20:00:00,0.0,2021,12,27,20,0,0
0.0,2021-12-27 20:15:00,0.0,2021,12,27,20,15,0
0.0,2021-12-27 20:30:00,0.0,2021,12,27,20,30,0
0.0,2021-12-27 20:45:00,0.0,2021,12,27,20,45,0
0.0,2021-12-27 21:00:00,0.0,2021,12,27,21,0,0
0.0,2021-12-27 21:15:00,0.0,2021,12,27,21,15,0
0.0,2021-12-27 21:30:00,0.0,2021,12,27,21,30,0
0.0,2021-12-27 21:45:00,0.0,2021,12,27,21,45,0
0.0,2021-12-27 22:00:00,0.0,2021,12,27,22,0,0
0.0,2021-12-27 22:15:00,0.0,2021,12,27,22,15,0
0.0,2021-12-27 22:30:00,0.0,2021,12,27,22,30,0
0.0,2021-12-27 22:45:00,0.0,2021,12,27,22,45,0
0.0,2021-12-27 23:00:00,0.0,2021,12,27,23,0,0
0.0,2021-12-27 23:15:00,0.0,2021,12,27,23,15,0
0.0,2021-12-27 23:30:00,0.0,2021,12,27,23,30,0
0.0,2021-12-27 23:45:00,0.0,2021,12,27,23,45,0
0.0,2021-12-28 00:00:00,0.0,2021,12,28,0,0,0
0.0,2021-12-28 00:15:00,0.0,2021,12,28,0,15,0
0.0,2021-12-28 00:30:00,0.0,2021,12,28,0,30,0
0.0,2021-12-28 00:45:00,0.0,2021,12,28,0,45,0
0.0,2021-12-28 01:00:00,0.0,2021,12,28,1,0,0
0.0,2021-12-28 01:15:00,0.0,2021,12,28,1,15,0
0.0,2021-12-28 01:30:00,0.0,2021,12,28,1,30,0
0.0,2021-12-28 01:45:00,0.0,2021,12,28,1,45,0
0.0,2021-12-28 02:00:00,0.0,2021,12,28,2,0,0
0.0,2021-12-28 02:15:00,0.0,2021,12,28,2,15,0
0.0,2021-12-28 02:30:00,0.0,2021,12,28,2,30,0
0.0,2021-12-28 02:45:00,0.0,2021,12,28,2,45,0
0.0,2021-12-28 03:00:00,0.0,2021,12,28,3,0,0
0.0,2021-12-28 03:15:00,0.0,2021,12,28,3,15,0
0.0,2021-12-28 03:30:00,0.0,2021,12,28,3,30,0
0.0,2021-12-28 03:45:00,0.0,2021,12,28,3,45,0
0.0,2021-12-28 04:00:00,0.0,2021,12,28,4,0,0
0.0,2021-12-28 04:15:00,0.0,2021,12,28,4,15,0
0.0,2021-12-28 04:30:00,0.0,2021,12,28,4,30,0
0.0,2021-12-28 04:45:00,0.0,2021,12,28,4,45,0
0.0,2021-12-28 05:00:00,0.0,2021,12,28,5,0,0
0.0,2021-12-28 05:15:00,0.0,2021,12,28,5,15,0
0.0,2021-12-28 05:30:00,0.0,2021,12,28,5,30,0
0.0,2021-12-28 05:45:00,0.0,2021,12,28,5,45,0
0.0,2021-12-28 06:00:00,0.0,2021,12,28,6,0,0
0.0,2021-12-28 06:15:00,0.0,2021,12,28,6,15,0
0.0,2021-12-28 06:30:00,0.0,2021,12,28,6,30,0
0.0,2021-12-28 06:45:00,0.0,2021,12,28,6,45,0
0.0,2021-12-28 07:00:00,0.0,2021,12,28,7,0,0
0.0,2021-12-28 07:15:00,0.0,2021,12,28,7,15,0
0.0,2021-12-28 07:30:00,0.0,2021,12,28,7,30,0
0.0,2021-12-28 07:45:00,0.0,2021,12,28,7,45,0
0.0,2021-12-28 08:00:00,0.0,2021,12,28,8,0,0
0.0,2021-12-28 08:15:00,0.0,2021,12,28,8,15,0
0.0,2021-12-28 08:30:00,0.0,2021,12,28,8,30,0
0.0,2021-12-28 08:45:00,0.0,2021,12,28,8,45,0
